ZIP_CODE,FirstDose,SecondDose,SingleDose,AtleastOneDose,FullyVaccinated,VaccinationDate
20906,54116,48512,2428,56544,50940,2021-11-18
20878,49913,44552,3361,53274,47913,2021-11-18
20874,43836,39590,3377,47213,42967,2021-11-18
21234,42081,38787,2976,45057,41763,2021-11-18
20904,41850,37465,1642,43492,39107,2021-11-18
20854,40707,35465,2107,42814,37572,2021-11-18
20850,38843,34852,2488,41331,37340,2021-11-18
21122,36924,33986,3075,39999,37061,2021-11-18
21117,37873,34648,2338,40211,36986,2021-11-18
20902,38710,34148,1890,40600,36038,2021-11-18
21043,36839,33799,2135,38974,35934,2021-11-18
21228,36050,33155,2477,38527,35632,2021-11-18
21224,33681,30108,3407,37088,33515,2021-11-18
21042,34438,31459,1950,36388,33409,2021-11-18
20852,35137,31109,1882,37019,32991,2021-11-18
21061,31947,28984,2596,34543,31580,2021-11-18
21044,32436,29768,1751,34187,31519,2021-11-18
20774,33172,29654,1503,34675,31157,2021-11-18
21222,30074,27363,3452,33526,30815,2021-11-18
21215,31190,27642,1983,33173,29625,2021-11-18
21093,30261,27578,1855,32116,29433,2021-11-18
21740,27197,24557,4693,31890,29250,2021-11-18
20772,30734,27606,1388,32122,28994,2021-11-18
20910,30667,26888,1630,32297,28518,2021-11-18
21045,29340,26811,1688,31028,28499,2021-11-18
